PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28263709","KChIP2 is a core transcriptional regulator of cardiac excitability","Nassal DM, Wan X, Liu H, Maleski D, Ramirez-Navarro A, Moravec CS, Ficker E, Laurita KR, Deschênes I.","Elife. 2017 Mar 6;6:e17304. doi: 10.7554/eLife.17304.","Nassal DM","Elife","2017","2017/03/07","PMC5338919","","10.7554/eLife.17304"
"32604801","Substantially Altered Expression Profile of Diabetes/Cardiovascular/Cerebrovascular Disease Associated microRNAs in Children Descending from Pregnancy Complicated by Gestational Diabetes Mellitus-One of Several Possible Reasons for an Increased Cardiovascular Risk","Hromadnikova I, Kotlabova K, Dvorakova L, Krofta L, Sirc J.","Cells. 2020 Jun 26;9(6):1557. doi: 10.3390/cells9061557.","Hromadnikova I","Cells","2020","2020/07/02","PMC7349356","","10.3390/cells9061557"
"30439713","MicroRNA-24-3p Attenuates Myocardial Ischemia/Reperfusion Injury by Suppressing RIPK1 Expression in Mice","Tan H, Qi J, Fan BY, Zhang J, Su FF, Wang HT.","Cell Physiol Biochem. 2018;51(1):46-62. doi: 10.1159/000495161. Epub 2018 Nov 15.","Tan H","Cell Physiol Biochem","2018","2018/11/16","","","10.1159/000495161"
"36725075","Circ_0001312 Silencing Suppresses Doxorubicin-Induced Cardiotoxicity via MiR-409-3p/HMGB1 Axis","Hu X, Liao W, Teng L, Ma R, Li H.","Int Heart J. 2023 Mar 31;64(1):71-80. doi: 10.1536/ihj.22-379. Epub 2023 Jan 31.","Hu X","Int Heart J","2023","2023/02/01","","","10.1536/ihj.22-379"
"34595819","The proliferation and migration of atherosclerosis-related HVSMCs were inhibited by downregulation of lncRNA XIST via regulation of the miR-761/BMP9 axis","Mo L, Jiang HB, Tian GR, Lu GJ.","Kaohsiung J Med Sci. 2022 Jan;38(1):18-29. doi: 10.1002/kjm2.12456. Epub 2021 Oct 1.","Mo L","Kaohsiung J Med Sci","2022","2021/10/01","","","10.1002/kjm2.12456"
"36788811","Bioinformatics prediction and experimental verification of a novel microRNA for myocardial fibrosis after myocardial infarction in rats","Guo Q, Wu D, Jia D, Zhang X, Wu A, Lou L, Zhao M, Zhao M, Gao Y, Wang M, Liu M, Chen M, Zhang D.","PeerJ. 2023 Feb 9;11:e14851. doi: 10.7717/peerj.14851. eCollection 2023.","Guo Q","PeerJ","2023","2023/02/15","PMC9922498","","10.7717/peerj.14851"
"33369227","MicroRNA-574 regulates FAM210A expression and influences pathological cardiac remodeling","Wu J, Venkata Subbaiah KC, Jiang F, Hedaya O, Mohan A, Yang T, Welle K, Ghaemmaghami S, Tang WHW, Small E, Yan C, Yao P.","EMBO Mol Med. 2021 Feb 5;13(2):e12710. doi: 10.15252/emmm.202012710. Epub 2020 Dec 28.","Wu J","EMBO Mol Med","2021","2020/12/28","PMC7863409","","10.15252/emmm.202012710"
"37298685","MicroRNA and lncRNA as the Future of Pulmonary Arterial Hypertension Treatment","Wołowiec Ł, Mędlewska M, Osiak J, Wołowiec A, Grześk E, Jaśniak A, Grześk G.","Int J Mol Sci. 2023 Jun 4;24(11):9735. doi: 10.3390/ijms24119735.","Wołowiec Ł","Int J Mol Sci","2023","2023/06/10","PMC10253568","","10.3390/ijms24119735"
"25383678","Circulating microRNA-19a as a potential novel biomarker for diagnosis of acute myocardial infarction","Zhong J, He Y, Chen W, Shui X, Chen C, Lei W.","Int J Mol Sci. 2014 Nov 6;15(11):20355-64. doi: 10.3390/ijms151120355.","Zhong J","Int J Mol Sci","2014","2014/11/11","PMC4264171","","10.3390/ijms151120355"
"26313139","Biological significance of miR-126 expression in atrial fibrillation and heart failure","Wei XJ, Han M, Yang FY, Wei GC, Liang ZG, Yao H, Ji CW, Xie RS, Gong CL, Tian Y.","Braz J Med Biol Res. 2015 Nov;48(11):983-9. doi: 10.1590/1414-431X20154590. Epub 2015 Aug 25.","Wei XJ","Braz J Med Biol Res","2015","2015/08/28","PMC4671524","","10.1590/1414-431X20154590"
"29566826","Value of Serial ST2 Measurements in Acute Heart Failure: miRNA Regulation and Genetic Factors","Patanè S.","J Am Coll Cardiol. 2018 Mar 27;71(12):1397. doi: 10.1016/j.jacc.2017.11.075.","Patanè S","J Am Coll Cardiol","2018","2018/03/24","","","10.1016/j.jacc.2017.11.075"
"29114000","MicroRNA-130a, a Potential Antifibrotic Target in Cardiac Fibrosis","Li L, Bounds KR, Chatterjee P, Gupta S.","J Am Heart Assoc. 2017 Nov 7;6(11):e006763. doi: 10.1161/JAHA.117.006763.","Li L","J Am Heart Assoc","2017","2017/11/09","PMC5721768","","10.1161/JAHA.117.006763"
"26235810","Negative Regulation of miR-375 by Interleukin-10 Enhances Bone Marrow-Derived Progenitor Cell-Mediated Myocardial Repair and Function After Myocardial Infarction","Garikipati VN, Krishnamurthy P, Verma SK, Khan M, Abramova T, Mackie AR, Qin G, Benedict C, Nickoloff E, Johnson J, Gao E, Losordo DW, Houser SR, Koch WJ, Kishore R.","Stem Cells. 2015 Dec;33(12):3519-29. doi: 10.1002/stem.2121. Epub 2015 Aug 25.","Garikipati VN","Stem Cells","2015","2015/08/04","PMC4713300","NIHMS710801","10.1002/stem.2121"
"28968594","MiRNA Expression Profile of the Myocardial Tissue of Pigs with Coronary Microembolization","Su Q, Li L, Zhao J, Sun Y, Yang H.","Cell Physiol Biochem. 2017;43(3):1012-1024. doi: 10.1159/000481699. Epub 2017 Oct 2.","Su Q","Cell Physiol Biochem","2017","2017/10/03","","","10.1159/000481699"
"29858017","By Targeting Atg7 MicroRNA-143 Mediates Oxidative Stress-Induced Autophagy of c-Kit(+) Mouse Cardiac Progenitor Cells","Ma W, Ding F, Wang X, Huang Q, Zhang L, Bi C, Hua B, Yuan Y, Han Z, Jin M, Liu T, Yu Y, Cai B, Du Z.","EBioMedicine. 2018 Jun;32:182-191. doi: 10.1016/j.ebiom.2018.05.021. Epub 2018 May 30.","Ma W","EBioMedicine","2018","2018/06/03","PMC6021267","","10.1016/j.ebiom.2018.05.021"
"21293005","Restriction of big hearts by a small RNA","Sun H, Wang Y.","Circ Res. 2011 Feb 4;108(3):274-6. doi: 10.1161/CIRCRESAHA.110.239426.","Sun H","Circ Res","2011","2011/02/05","PMC3074488","NIHMS272499","10.1161/CIRCRESAHA.110.239426"
"29109831","MicroRNA-93 Regulates Hypoxia-Induced Autophagy by Targeting ULK1","Li W, Yang Y, Ba Z, Li S, Chen H, Hou X, Ma L, He P, Jiang L, Li L, He R, Zhang L, Feng D.","Oxid Med Cell Longev. 2017;2017:2709053. doi: 10.1155/2017/2709053. Epub 2017 Oct 3.","Li W","Oxid Med Cell Longev","2017","2017/11/08","PMC5646326","","10.1155/2017/2709053"
"22548568","Molecular targets in heart failure gene therapy: current controversies and translational perspectives","Kairouz V, Lipskaia L, Hajjar RJ, Chemaly ER.","Ann N Y Acad Sci. 2012 Apr;1254:42-50. doi: 10.1111/j.1749-6632.2012.06520.x.","Kairouz V","Ann N Y Acad Sci","2012","2012/05/03","PMC3470446","NIHMS363122","10.1111/j.1749-6632.2012.06520.x"
"26191152","Cardiac myocyte-protective effect of microRNA-22 during ischemia and reperfusion through disrupting the caveolin-3/eNOS signaling","Chen Z, Qi Y, Gao C.","Int J Clin Exp Pathol. 2015 May 1;8(5):4614-26. eCollection 2015.","Chen Z","Int J Clin Exp Pathol","2015","2015/07/21","PMC4503024","",""
"34165173","Inhibition of lncRNA SNHG8 plays a protective role in hypoxia-ischemia-reoxygenation-induced myocardial injury by regulating miR-335 and RASA1 expression","Liu Y, Zhou P, Wang F, Zhang X, Yang D, Hong L, Ruan D.","Mol Med Rep. 2021 Aug;24(2):597. doi: 10.3892/mmr.2021.12236. Epub 2021 Jun 24.","Liu Y","Mol Med Rep","2021","2021/06/24","PMC8240175","","10.3892/mmr.2021.12236"
"34435045","miR-129 Attenuates Myocardial Ischemia Reperfusion Injury by Regulating the Expression of PTEN in Rats","Dai ZH, Jiang ZM, Tu H, Mao L, Song GL, Yang ZB, Liu F, Ali Sheikh MS.","Biomed Res Int. 2021 Aug 14;2021:5535788. doi: 10.1155/2021/5535788. eCollection 2021.","Dai ZH","Biomed Res Int","2021","2021/08/26","PMC8382530","","10.1155/2021/5535788"
"32572932","A study of the effects of SGLT-2 inhibitors on diabetic cardiomyopathy through miR-30d/KLF9/VEGFA pathway","Zhang WY, Wang J, Li AZ.","Eur Rev Med Pharmacol Sci. 2020 Jun;24(11):6346-6359. doi: 10.26355/eurrev_202006_21533.","Zhang WY","Eur Rev Med Pharmacol Sci","2020","2020/06/24","","","10.26355/eurrev_202006_21533"
"29462797","Functional SNP in the 3'UTR of PON1 is Associated with the Risk of Calcific Aortic Valve Stenosis via MiR-616","Wang Z, Chen S, Zhu M, Zhang W, Zhang H, Li H, Zou C.","Cell Physiol Biochem. 2018;45(4):1390-1398. doi: 10.1159/000487565. Epub 2018 Feb 15.","Wang Z","Cell Physiol Biochem","2018","2018/02/21","","","10.1159/000487565"
"29566825","Reply: Value of Serial ST2 Measurements in Acute Heart Failure: miRNA Regulation and Genetic Factors","van Vark LC, Kardys I, Boersma E, Hillege HL, Akkerhuis KM; TRIUMPH Investigators.","J Am Coll Cardiol. 2018 Mar 27;71(12):1397-1398. doi: 10.1016/j.jacc.2018.01.035.","van Vark LC","J Am Coll Cardiol","2018","2018/03/24","","","10.1016/j.jacc.2018.01.035"
"27123852","Discordant Expression of Circulating microRNA from Cellular and Extracellular Sources","Shah R, Tanriverdi K, Levy D, Larson M, Gerstein M, Mick E, Rozowsky J, Kitchen R, Murthy V, Mikalev E, Freedman JE.","PLoS One. 2016 Apr 28;11(4):e0153691. doi: 10.1371/journal.pone.0153691. eCollection 2016.","Shah R","PLoS One","2016","2016/04/29","PMC4849639","","10.1371/journal.pone.0153691"
"33506921","Inhibition of microRNA-802-5p inhibits myocardial apoptosis after myocardial infarction via Sonic Hedgehog signaling pathway by targeting PTCH1","Li SH, Zhang YY, Sun YL, Zhao HJ, Wang Y.","Eur Rev Med Pharmacol Sci. 2021 Jan;25(1):326-334. doi: 10.26355/eurrev_202101_24398.","Li SH","Eur Rev Med Pharmacol Sci","2021","2021/01/28","","","10.26355/eurrev_202101_24398"
"26380976","Combinatorial microRNAs suppress hypoxia-induced cardiomyocytes apoptosis","Xu Y, Zhu W, Wang Z, Yuan W, Sun Y, Liu H, Du Z.","Cell Physiol Biochem. 2015;37(3):921-32. doi: 10.1159/000430219. Epub 2015 Sep 18.","Xu Y","Cell Physiol Biochem","2015","2015/09/19","","","10.1159/000430219"
"31092195","Circulating miR-26a-1, miR-146a and miR-199a-1 are potential candidate biomarkers for acute myocardial infarction","Xue S, Zhu W, Liu D, Su Z, Zhang L, Chang Q, Li P.","Mol Med. 2019 May 15;25(1):18. doi: 10.1186/s10020-019-0086-1.","Xue S","Mol Med","2019","2019/05/17","PMC6521554","","10.1186/s10020-019-0086-1"
"24349482","microRNA 126 inhibits the transition of endothelial progenitor cells to mesenchymal cells via the PIK3R2-PI3K/Akt signalling pathway","Zhang J, Zhang Z, Zhang DY, Zhu J, Zhang T, Wang C.","PLoS One. 2013 Dec 13;8(12):e83294. doi: 10.1371/journal.pone.0083294. eCollection 2013.","Zhang J","PLoS One","2013","2013/12/19","PMC3862723","","10.1371/journal.pone.0083294"
"36700468","Long non-coding RNA MALAT1 aggravated liver ischemia-reperfusion injury via targeting miR-150-5p/AZIN1","Sun Q, Gong J, Gong X, Wu J, Hu Z, Zhang Q, Zhu X.","Bioengineered. 2022 May;13(5):13422-13436. doi: 10.1080/21655979.2022.2073124.","Sun Q","Bioengineered","2022","2023/01/26","PMC9275989","","10.1080/21655979.2022.2073124"
"35489420","Endothelial miR-199a-3p regulating cell adhesion molecules by targeting mTOR signaling during inflammation","Gu X, Weng R, Hou J, Liu S.","Eur J Pharmacol. 2022 Jun 15;925:174984. doi: 10.1016/j.ejphar.2022.174984. Epub 2022 Apr 28.","Gu X","Eur J Pharmacol","2022","2022/04/30","","","10.1016/j.ejphar.2022.174984"
"25995320","Circulating MicroRNA-30d Is Associated With Response to Cardiac Resynchronization Therapy in Heart Failure and Regulates Cardiomyocyte Apoptosis: A Translational Pilot Study","Melman YF, Shah R, Danielson K, Xiao J, Simonson B, Barth A, Chakir K, Lewis GD, Lavender Z, Truong QA, Kleber A, Das R, Rosenzweig A, Wang Y, Kass D, Singh JP, Das S.","Circulation. 2015 Jun 23;131(25):2202-2216. doi: 10.1161/CIRCULATIONAHA.114.013220. Epub 2015 May 20.","Melman YF","Circulation","2015","2015/05/22","PMC4479965","NIHMS684406","10.1161/CIRCULATIONAHA.114.013220"
"25710008","Differential regulation of microRNAs in end-stage failing hearts is associated with left ventricular assist device unloading","Barsanti C, Trivella MG, D'Aurizio R, El Baroudi M, Baumgart M, Groth M, Caruso R, Verde A, Botta L, Cozzi L, Pitto L.","Biomed Res Int. 2015;2015:592512. doi: 10.1155/2015/592512. Epub 2015 Feb 1.","Barsanti C","Biomed Res Int","2015","2015/02/25","PMC4330954","","10.1155/2015/592512"
"34384454","MicroRNAs involve in bicuspid aortic aneurysm: pathogenesis and biomarkers","Jia H, Kang L, Ma Z, Lu S, Huang B, Wang C, Zou Y, Sun Y.","J Cardiothorac Surg. 2021 Aug 12;16(1):230. doi: 10.1186/s13019-021-01613-9.","Jia H","J Cardiothorac Surg","2021","2021/08/13","PMC8359579","","10.1186/s13019-021-01613-9"
"28782654","MiR-485-5p modulates mitochondrial fission through targeting mitochondrial anchored protein ligase in cardiac hypertrophy","Zhao Y, Ponnusamy M, Liu C, Tian J, Dong Y, Gao J, Wang C, Zhang Y, Zhang L, Wang K, Li P.","Biochim Biophys Acta Mol Basis Dis. 2017 Nov;1863(11):2871-2881. doi: 10.1016/j.bbadis.2017.07.034. Epub 2017 Aug 4.","Zhao Y","Biochim Biophys Acta Mol Basis Dis","2017","2017/08/08","","","10.1016/j.bbadis.2017.07.034"
"36553526","Microarray Analysis Reveals Changes in tRNA-Derived Small RNAs (tsRNAs) Expression in Mice with Septic Cardiomyopathy","Yuan L, Tang Y, Yin L, Lin X, Luo Z, Wang S, Li J, Liang P, Jiang B.","Genes (Basel). 2022 Nov 30;13(12):2258. doi: 10.3390/genes13122258.","Yuan L","Genes (Basel)","2022","2022/12/23","PMC9778384","","10.3390/genes13122258"
"30279543","A novel system-level approach using RNA-sequencing data identifies miR-30-5p and miR-142a-5p as key regulators of apoptosis in myocardial infarction","Kim JO, Park JH, Kim T, Hong SE, Lee JY, Nho KJ, Cho C, Kim YS, Kang WS, Ahn Y, Kim DH.","Sci Rep. 2018 Oct 2;8(1):14638. doi: 10.1038/s41598-018-33020-x.","Kim JO","Sci Rep","2018","2018/10/04","PMC6168573","","10.1038/s41598-018-33020-x"
"30589501","Modulation of apoptosis-related microRNAs following myocardial infarction in fat-1 transgenic mice vs wild-type mice","Ma H, Chen P, Sang C, Huang D, Geng Q, Wang L.","J Cell Mol Med. 2018 Nov;22(11):5698-5707. doi: 10.1111/jcmm.13846. Epub 2018 Sep 14.","Ma H","J Cell Mol Med","2018","2018/12/28","PMC6201345","","10.1111/jcmm.13846"
"32529742","Diagnostic and prognostic value of circulating miRNA-499 and miRNA-22 in acute myocardial infarction","Wang X, Tian L, Sun Q.","J Clin Lab Anal. 2020 Aug;34(8):2410-2417. doi: 10.1002/jcla.23332. Epub 2020 Jun 11.","Wang X","J Clin Lab Anal","2020","2020/06/13","PMC7439427","","10.1002/jcla.23332"
"30771307","Role of the PRC2-Six1-miR-25 signaling axis in heart failure","Oh JG, Jang SP, Yoo J, Lee MA, Lee SH, Lim T, Jeong E, Kho C, Kook H, Hajjar RJ, Park WJ, Jeong D.","J Mol Cell Cardiol. 2019 Apr;129:58-68. doi: 10.1016/j.yjmcc.2019.01.017. Epub 2019 Feb 13.","Oh JG","J Mol Cell Cardiol","2019","2019/02/17","","","10.1016/j.yjmcc.2019.01.017"
"37424776","Comparative microRNA profiling of Trypanosoma cruzi infected human cells","Rego N, Libisch MG, Rovira C, Tosar JP, Robello C.","Front Cell Infect Microbiol. 2023 Jun 21;13:1187375. doi: 10.3389/fcimb.2023.1187375. eCollection 2023.","Rego N","Front Cell Infect Microbiol","2023","2023/07/10","PMC10322668","","10.3389/fcimb.2023.1187375"
"24615014","Mitofusin 1 is negatively regulated by microRNA 140 in cardiomyocyte apoptosis","Li J, Li Y, Jiao J, Wang J, Li Y, Qin D, Li P.","Mol Cell Biol. 2014 May;34(10):1788-99. doi: 10.1128/MCB.00774-13. Epub 2014 Mar 10.","Li J","Mol Cell Biol","2014","2014/03/12","PMC4019028","","10.1128/MCB.00774-13"
"29477204","MicroRNA-155 promotes neointimal hyperplasia through smooth muscle-like cell-derived RANTES in arteriovenous fistulas","Wang K, Deng P, Sun Y, Ye P, Zhang A, Wu C, Yue Z, Chen Z, Xia J.","J Vasc Surg. 2018 Mar;67(3):933-944.e3. doi: 10.1016/j.jvs.2017.02.046.","Wang K","J Vasc Surg","2018","2018/02/26","","","10.1016/j.jvs.2017.02.046"
"27422887","Elevated serum microRNA 483-5p levels may predict patients at risk of post-operative atrial fibrillation","Harling L, Lambert J, Ashrafian H, Darzi A, Gooderham NJ, Athanasiou T.","Eur J Cardiothorac Surg. 2017 Jan;51(1):73-78. doi: 10.1093/ejcts/ezw245. Epub 2016 Jul 15.","Harling L","Eur J Cardiothorac Surg","2017","2016/07/17","PMC5226070","","10.1093/ejcts/ezw245"
"33660818","Overexpression of miR-431 inhibits cardiomyocyte apoptosis following myocardial infarction via targeting HIPK3","Ma ZF, Wang N, Zhang J, Wan YF, Xiao N, Chen C.","Eur Rev Med Pharmacol Sci. 2021 Feb;25(4):2056-2064. doi: 10.26355/eurrev_202102_25110.","Ma ZF","Eur Rev Med Pharmacol Sci","2021","2021/03/04","","","10.26355/eurrev_202102_25110"
"28397788","Over-expression of microRNA-1 causes arrhythmia by disturbing intracellular trafficking system","Su X, Liang H, Wang H, Chen G, Jiang H, Wu Q, Liu T, Liu Q, Yu T, Gu Y, Yang B, Shan H.","Sci Rep. 2017 Apr 11;7:46259. doi: 10.1038/srep46259.","Su X","Sci Rep","2017","2017/04/12","PMC5387686","","10.1038/srep46259"
"21367584","Altered microRNA expression associated with reduced catecholamine sensitivity in patients with chronic heart failure","Funahashi H, Izawa H, Hirashiki A, Cheng XW, Inden Y, Nomura M, Murohara T.","J Cardiol. 2011 May;57(3):338-44. doi: 10.1016/j.jjcc.2011.01.009. Epub 2011 Mar 2.","Funahashi H","J Cardiol","2011","2011/03/04","","","10.1016/j.jjcc.2011.01.009"
"31237127","Role of MicroRNA-34a in Anti-Apoptotic Effects of Granulocyte-Colony Stimulating Factor in Diabetic Cardiomyopathy","Park IH, Song YS, Joo HW, Shen GY, Seong JH, Shin NK, Cho YJ, Lee Y, Shin JH, Lim YH, Kim H, Kim KS.","Diabetes Metab J. 2020 Feb;44(1):173-185. doi: 10.4093/dmj.2018.0211. Epub 2019 Apr 23.","Park IH","Diabetes Metab J","2020","2019/06/26","PMC7043984","","10.4093/dmj.2018.0211"
"35658236","Anti-inflammatory effect of trans-anethol in a rat model of myocardial ischemia-reperfusion injury","Matboli M, Hasanin AH, Hamady S, Khairy E, Mohamed RH, Aboul-Ela YM, Raafat MH, Elsebay SAG, Emam HY, Shamekh RS, Agwa SHA.","Biomed Pharmacother. 2022 Jun;150:113070. doi: 10.1016/j.biopha.2022.113070. Epub 2022 May 6.","Matboli M","Biomed Pharmacother","2022","2022/06/05","","","10.1016/j.biopha.2022.113070"
"29991775","MicroRNA-21 prevents excessive inflammation and cardiac dysfunction after myocardial infarction through targeting KBTBD7","Yang L, Wang B, Zhou Q, Wang Y, Liu X, Liu Z, Zhan Z.","Cell Death Dis. 2018 Jul 10;9(7):769. doi: 10.1038/s41419-018-0805-5.","Yang L","Cell Death Dis","2018","2018/07/12","PMC6039462","","10.1038/s41419-018-0805-5"
"29413377","Growth Differentiation Factor-15 in Chronic Heart Failure: The Role of miRNAs Regulation and of Wnt Signaling Modulation","Patanè S.","JACC Heart Fail. 2018 Feb;6(2):177. doi: 10.1016/j.jchf.2017.10.013.","Patanè S","JACC Heart Fail","2018","2018/02/08","","","10.1016/j.jchf.2017.10.013"
"27216962","Nutrition has a pervasive impact on cardiac microRNA expression in isogenic mice","Wing-Lun E, Eaton SA, Hur SS, Aiken A, Young PE, Buckland ME, Li CC, Cropley JE, Suter CM.","Epigenetics. 2016 Jul 2;11(7):475-81. doi: 10.1080/15592294.2016.1190895. Epub 2016 May 23.","Wing-Lun E","Epigenetics","2016","2016/05/25","PMC4939929","","10.1080/15592294.2016.1190895"
"30886860","Identification of Candidate Genes and MicroRNAs for Acute Myocardial Infarction by Weighted Gene Coexpression Network Analysis","Li Y, He XN, Li C, Gong L, Liu M.","Biomed Res Int. 2019 Feb 11;2019:5742608. doi: 10.1155/2019/5742608. eCollection 2019.","Li Y","Biomed Res Int","2019","2019/03/20","PMC6388335","","10.1155/2019/5742608"
"28411247","Exosomal MicroRNA Transfer Into Macrophages Mediates Cellular Postconditioning","de Couto G, Gallet R, Cambier L, Jaghatspanyan E, Makkar N, Dawkins JF, Berman BP, Marbán E.","Circulation. 2017 Jul 11;136(2):200-214. doi: 10.1161/CIRCULATIONAHA.116.024590. Epub 2017 Apr 14.","de Couto G","Circulation","2017","2017/04/16","PMC5505791","NIHMS875741","10.1161/CIRCULATIONAHA.116.024590"
"36674797","Suppression of RBFox2 by Multiple MiRNAs in Pressure Overload-Induced Heart Failure","Gu M, Zhao Y, Wang H, Cheng W, Liu J, Ouyang K, Wei C.","Int J Mol Sci. 2023 Jan 9;24(2):1283. doi: 10.3390/ijms24021283.","Gu M","Int J Mol Sci","2023","2023/01/21","PMC9867119","","10.3390/ijms24021283"
"28170197","Enhanced Cardioprotection by Human Endometrium Mesenchymal Stem Cells Driven by Exosomal MicroRNA-21","Wang K, Jiang Z, Webster KA, Chen J, Hu H, Zhou Y, Zhao J, Wang L, Wang Y, Zhong Z, Ni C, Li Q, Xiang C, Zhang L, Wu R, Zhu W, Yu H, Hu X, Wang J.","Stem Cells Transl Med. 2017 Jan;6(1):209-222. doi: 10.5966/sctm.2015-0386. Epub 2016 Aug 29.","Wang K","Stem Cells Transl Med","2017","2017/02/08","PMC5442741","","10.5966/sctm.2015-0386"
"31401194","MicroRNA let-7-TGFBR3 signalling regulates cardiomyocyte apoptosis after infarction","Chen CY, Choong OK, Liu LW, Cheng YC, Li SC, Yen CYT, Wu MR, Chiang MH, Tsang TJ, Wu YW, Lin LC, Chen YL, Lin WC, Hacker TA, Kamp TJ, Hsieh PCH.","EBioMedicine. 2019 Aug;46:236-247. doi: 10.1016/j.ebiom.2019.08.001. Epub 2019 Aug 7.","Chen CY","EBioMedicine","2019","2019/08/12","PMC6712055","","10.1016/j.ebiom.2019.08.001"
"22383710","Decoding the cardiac message: the 2011 Thomas W. Smith Memorial Lecture","Dorn GW 2nd.","Circ Res. 2012 Mar 2;110(5):755-63. doi: 10.1161/CIRCRESAHA.111.256768.","Dorn GW 2nd","Circ Res","2012","2012/03/03","PMC3294415","NIHMS356546","10.1161/CIRCRESAHA.111.256768"
"31265855","MicroRNA-374a protects against myocardial ischemia-reperfusion injury in mice by targeting the MAPK6 pathway","Huang ZQ, Xu W, Wu JL, Lu X, Chen XM.","Life Sci. 2019 Sep 1;232:116619. doi: 10.1016/j.lfs.2019.116619. Epub 2019 Jun 29.","Huang ZQ","Life Sci","2019","2019/07/03","","","10.1016/j.lfs.2019.116619"
"31176549","Commentary: Using microRNAs as biomarkers in pediatric cardiac surgery","Hobbs R, Si MS.","J Thorac Cardiovasc Surg. 2020 Apr;159(4):1541-1542. doi: 10.1016/j.jtcvs.2019.04.076. Epub 2019 May 16.","Hobbs R","J Thorac Cardiovasc Surg","2020","2019/06/10","","","10.1016/j.jtcvs.2019.04.076"
"23868826","Circulating p53-responsive microRNAs as predictive biomarkers in heart failure after acute myocardial infarction: the long and arduous road from scientific discovery to clinical utility","Evans S, Mann DL.","Circ Res. 2013 Jul 19;113(3):242-4. doi: 10.1161/CIRCRESAHA.113.301951.","Evans S","Circ Res","2013","2013/07/23","PMC3805140","NIHMS508283","10.1161/CIRCRESAHA.113.301951"
"27648733","Controllable Large-Scale Transfection of Primary Mammalian Cardiomyocytes on a Nanochannel Array Platform","Chang L, Gallego-Perez D, Chiang CL, Bertani P, Kuang T, Sheng Y, Chen F, Chen Z, Shi J, Yang H, Huang X, Malkoc V, Lu W, Lee LJ.","Small. 2016 Nov;12(43):5971-5980. doi: 10.1002/smll.201601465. Epub 2016 Sep 20.","Chang L","Small","2016","2016/09/21","PMC5153662","NIHMS833526","10.1002/smll.201601465"
"32680653","A new predictive marker of ventricular remodeling associated with aortic stenosis","Girão H.","Rev Port Cardiol (Engl Ed). 2020 Jul;39(7):389-390. doi: 10.1016/j.repc.2020.06.006. Epub 2020 Jul 15.","Girão H","Rev Port Cardiol (Engl Ed)","2020","2020/07/19","","","10.1016/j.repc.2020.06.006"
"28323921","Emerging Roles for MicroRNAs in Diabetic Microvascular Disease: Novel Targets for Therapy","Zhang Y, Sun X, Icli B, Feinberg MW.","Endocr Rev. 2017 Apr 1;38(2):145-168. doi: 10.1210/er.2016-1122.","Zhang Y","Endocr Rev","2017","2017/03/22","PMC5460677","","10.1210/er.2016-1122"
"26558258","Role and Function of MicroRNAs in Extracellular Vesicles in Cardiovascular Biology","Pfeifer P, Werner N, Jansen F.","Biomed Res Int. 2015;2015:161393. doi: 10.1155/2015/161393. Epub 2015 Oct 8.","Pfeifer P","Biomed Res Int","2015","2015/11/12","PMC4618108","","10.1155/2015/161393"
"25630970","The stretch responsive microRNA miR-148a-3p is a novel repressor of IKBKB, NF-κB signaling, and inflammatory gene expression in human aortic valve cells","Patel V, Carrion K, Hollands A, Hinton A, Gallegos T, Dyo J, Sasik R, Leire E, Hardiman G, Mohamed SA, Nigam S, King CC, Nizet V, Nigam V.","FASEB J. 2015 May;29(5):1859-68. doi: 10.1096/fj.14-257808. Epub 2015 Jan 28.","Patel V","FASEB J","2015","2015/01/30","PMC4771066","","10.1096/fj.14-257808"
"28676635","Syncytiotrophoblast derived extracellular vesicles transfer functional placental miRNAs to primary human endothelial cells","Cronqvist T, Tannetta D, Mörgelin M, Belting M, Sargent I, Familari M, Hansson SR.","Sci Rep. 2017 Jul 4;7(1):4558. doi: 10.1038/s41598-017-04468-0.","Cronqvist T","Sci Rep","2017","2017/07/06","PMC5496854","","10.1038/s41598-017-04468-0"
"37096660","CircHECTD1 promoted MIRI-associated inflammation via inhibiting miR-138-5p and upregulating ROCK2","Yang YN, Luo YB, Xu G, Li K, Ma RL, Yuan W.","Kaohsiung J Med Sci. 2023 Jul;39(7):675-687. doi: 10.1002/kjm2.12686. Epub 2023 Apr 25.","Yang YN","Kaohsiung J Med Sci","2023","2023/04/25","","","10.1002/kjm2.12686"
"29393356","MicroRNA-327 regulates cardiac hypertrophy and fibrosis induced by pressure overload","Ji Y, Qiu M, Shen Y, Gao L, Wang Y, Sun W, Li X, Lu Y, Kong X.","Int J Mol Med. 2018 Apr;41(4):1909-1916. doi: 10.3892/ijmm.2018.3428. Epub 2018 Jan 25.","Ji Y","Int J Mol Med","2018","2018/02/03","PMC5810199","","10.3892/ijmm.2018.3428"
"34165260","Telocytes-derived extracellular vesicles alleviate aortic valve calcification by carrying miR-30b","Yang R, Tang Y, Chen X, Yang Y.","ESC Heart Fail. 2021 Oct;8(5):3935-3946. doi: 10.1002/ehf2.13460. Epub 2021 Jun 24.","Yang R","ESC Heart Fail","2021","2021/06/24","PMC8497371","","10.1002/ehf2.13460"
